indicatorId,geoUnit,year,value,qualifier,magnitude
220174,ABW,2010,4,,
220174,ABW,2011,4,,
220174,AGO,2016,9,,
220174,AGO,2017,9,,
220174,ALB,2014,7,,
220174,ALB,2015,7,,
220174,AND,2005,2,,
220174,AND,2006,2,,
220174,AND,2016,1,,
220174,AND,2017,1,,
220174,ARG,2007,289,,
220174,ARG,2008,275,,
220174,ARG,2009,280,,
220174,ARG,2010,264,,
220174,ARG,2011,259,,
220174,ARG,2012,317,,
220174,ARG,2013,315,,
220174,ARG,2014,287,,
220174,ARG,2015,299,,
220174,ARG,2016,207,,
220174,ARG,2017,240,,
220174,AUS,2005,519,,
220174,AUS,2006,494,,
220174,AUS,2007,485,NAT_EST,
220174,AUS,2008,493,NAT_EST,
220174,AUS,2009,492,NAT_EST,
220174,AUS,2010,481,NAT_EST,
220174,AUS,2011,474,NAT_EST,
220174,AUS,2012,474,,
220174,AUS,2013,482,,
220174,AUS,2014,485,NAT_EST,
220174,AUS,2015,492,NAT_EST,
220174,AUS,2016,498,,
220174,AUS,2017,513,,
220174,AUT,2005,174,,
220174,AUT,2007,163,,
220174,AUT,2008,164,,
220174,AUT,2009,160,,
220174,AUT,2010,160,,
220174,AUT,2011,157,,
220174,AUT,2012,152,,
220174,AUT,2013,133,,
220174,AUT,2014,138,,
220174,AUT,2015,138,,
220174,AUT,2016,138,,
220174,AUT,2017,139,,
220174,AZE,2005,21,,
220174,AZE,2006,19,,
220174,AZE,2007,17,,
220174,AZE,2008,14,,
220174,AZE,2009,9,,
220174,AZE,2010,9,,
220174,AZE,2011,10,,
220174,AZE,2012,9,,
220174,AZE,2013,10,,
220174,AZE,2014,7,,
220174,AZE,2015,10,,
220174,AZE,2016,11,,
220174,AZE,2017,9,,
220174,BDI,2014,0,,NIL
220174,BDI,2015,0,,NIL
220174,BDI,2016,0,,NIL
220174,BDI,2017,0,,NIL
220174,BEL,2007,103,,
220174,BEL,2008,97,,
220174,BEL,2009,94,,
220174,BEL,2010,88,,
220174,BEL,2011,108,,
220174,BEL,2012,94,,
220174,BEL,2013,97,,
220174,BEL,2014,89,,
220174,BEL,2015,88,,
220174,BEL,2016,92,,
220174,BFA,2007,10,NAT_EST,
220174,BFA,2008,10,NAT_EST,
220174,BFA,2009,10,NAT_EST,
220174,BFA,2014,9,,
220174,BFA,2015,9,,
220174,BGD,2016,365,,
220174,BGD,2017,337,,
220174,BGR,2005,62,,
220174,BGR,2006,68,,
220174,BGR,2007,57,,
220174,BGR,2008,32,,
220174,BGR,2009,30,,
220174,BGR,2010,33,,
220174,BGR,2011,30,,
220174,BGR,2012,29,,
220174,BGR,2013,32,,
220174,BGR,2014,38,,
220174,BGR,2015,46,,
220174,BGR,2016,51,,
220174,BGR,2017,56,,
220174,BHR,2005,5,,
220174,BHR,2006,5,,
220174,BHR,2007,5,,
220174,BHR,2008,5,,
220174,BHR,2009,6,,
220174,BHR,2012,7,,
220174,BHR,2013,7,,
220174,BIH,2010,30,,
220174,BIH,2012,37,,
220174,BIH,2013,32,,
220174,BIH,2014,10,,
220174,BIH,2015,11,,
220174,BIH,2016,11,,
220174,BIH,2017,11,,
220174,BLR,2005,143,,
220174,BLR,2006,139,,
220174,BLR,2007,138,,
220174,BLR,2008,137,,
220174,BLR,2009,138,,
220174,BLR,2010,131,,
220174,BLR,2011,129,,
220174,BLZ,2016,2,,
220174,BLZ,2017,2,,
220174,BMU,2010,4,,
220174,BMU,2011,4,,
220174,BOL,2007,14,NAT_EST,
220174,BOL,2008,17,NAT_EST,
220174,BOL,2009,19,,
220174,BOL,2014,76,,
220174,BOL,2015,91,,
220174,BOL,2016,19,,
220174,BOL,2017,19,,
220174,BRA,2005,790,,
220174,BRA,2006,770,,
220174,BRA,2007,783,,
220174,BRA,2008,816,,
220174,BRA,2009,647,,
220174,BRA,2010,662,,
220174,BRA,2011,686,,
220174,BRA,2012,701,,
220174,BRA,2013,721,,
220174,BRA,2014,746,,
220174,BRA,2015,742,,
220174,BRA,2016,771,,
220174,BRA,2017,782,,
220174,BTN,2010,6,,
220174,BTN,2011,7,,
220174,CAN,2007,672,,
220174,CAN,2008,681,,
220174,CHE,2005,323,,
220174,CHE,2006,319,,
220174,CHE,2007,307,,
220174,CHE,2008,307,,
220174,CHE,2009,302,,
220174,CHE,2010,299,,
220174,CHE,2011,288,,
220174,CHE,2012,278,,
220174,CHE,2013,272,,
220174,CHE,2014,275,,
220174,CHE,2015,273,,
220174,CHE,2016,278,,
220174,CHE,2017,271,,
220174,CHL,2005,65,,
220174,CHL,2006,63,,
220174,CHL,2007,52,,
220174,CHL,2008,55,,
220174,CHL,2009,55,,
220174,CHL,2010,64,,
220174,CHL,2011,66,,
220174,CHL,2012,66,,
220174,CHL,2013,62,,
220174,CHL,2014,65,,
220174,CHL,2015,68,,
220174,CHL,2016,60,,
220174,CHL,2017,65,,
220174,CHN,2006,1325,,
220174,CHN,2007,1427,,
220174,CHN,2008,1545,,
220174,CHN,2009,1687,,
220174,CMR,2005,3,,
220174,CMR,2006,3,,
220174,CMR,2007,3,,
220174,CMR,2008,3,,
220174,CMR,2009,0,,NIL
220174,COK,2014,1,,
220174,COK,2015,1,,
220174,COL,2009,138,,
220174,COL,2010,133,,
220174,COL,2011,150,,
220174,COL,2012,157,,
220174,COL,2013,184,,
220174,COL,2014,193,,
220174,COL,2015,200,,
220174,CPV,2012,2,,
220174,CPV,2013,3,,
220174,CRI,2005,18,,
220174,CRI,2006,20,,
220174,CRI,2012,19,,
220174,CRI,2013,21,,
220174,CRI,2014,20,,
220174,CRI,2015,29,,
220174,CRI,2016,32,,
220174,CRI,2017,33,,
220174,CUB,2005,368,,
220174,CUB,2006,337,,
220174,CUB,2007,296,,
220174,CUB,2008,307,,
220174,CUB,2009,313,,
220174,CYP,2005,9,,
220174,CYP,2006,7,,
220174,CYP,2009,8,,
220174,CYP,2010,8,,
220174,CYP,2011,7,,
220174,CYP,2012,8,,
220174,CYP,2013,7,,
220174,CYP,2014,6,,
220174,CYP,2015,6,,
220174,CYP,2016,6,,
220174,CYP,2017,6,,
220174,CZE,2007,528,,
220174,CZE,2008,511,,
220174,CZE,2009,516,,
220174,CZE,2010,501,,
220174,CZE,2011,473,,
220174,CZE,2012,482,,
220174,CZE,2013,475,,
220174,CZE,2014,473,,
220174,CZE,2015,469,,
220174,CZE,2016,280,,
220174,CZE,2017,288,,
220174,DEU,2005,1464,,
220174,DEU,2006,1431,,
220174,DEU,2007,1812,,
220174,DEU,2008,1793,,
220174,DEU,2009,1744,,
220174,DEU,2010,1714,,
220174,DEU,2011,1671,,
220174,DEU,2012,1652,,
220174,DEU,2013,1637,,
220174,DEU,2014,1567,,
220174,DEU,2015,1586,,
220174,DEU,2016,1595,,
220174,DEU,2017,1612,,
220174,DNK,2005,165,,
220174,DNK,2006,165,,
220174,DNK,2007,167,,
220174,DNK,2008,164,,
220174,DNK,2009,163,,
220174,DNK,2010,162,,
220174,DNK,2011,161,,
220174,DNK,2012,163,,
220174,DNK,2013,161,,
220174,DNK,2014,160,,
220174,DNK,2015,161,,
220174,DNK,2016,163,,
220174,DNK,2017,166,,
220174,DOM,2005,18,,
220174,DOM,2006,18,,
220174,DOM,2007,21,,
220174,DOM,2008,23,,
220174,DOM,2009,23,,
220174,DOM,2014,32,,
220174,DOM,2015,31,,
220174,DOM,2016,28,,
220174,DOM,2017,29,,
220174,DZA,2016,80,UIS_EST,
220174,DZA,2017,80,,
220174,EGY,2005,165,,
220174,EGY,2007,114,,
220174,EGY,2008,116,,
220174,EGY,2009,116,,
220174,EGY,2010,110,,
220174,EGY,2012,92,,
220174,EGY,2013,82,,
220174,EGY,2014,75,,
220174,EGY,2015,69,,
220174,EGY,2016,65,,
220174,ERI,2012,11,,
220174,ERI,2013,9,,
220174,ERI,2014,9,,
220174,ERI,2015,9,,
220174,ERI,2016,9,,
220174,ERI,2017,9,,
220174,ESP,2005,1052,,
220174,ESP,2006,990,,
220174,ESP,2007,934,,
220174,ESP,2008,894,,
220174,ESP,2009,872,,
220174,ESP,2010,860,,
220174,ESP,2011,876,,
220174,ESP,2012,841,,
220174,ESP,2013,777,,
220174,ESP,2014,710,,
220174,ESP,2015,711,,
220174,ESP,2016,721,,
220174,ESP,2017,739,,
220174,EST,2005,11,,
220174,EST,2006,12,,
220174,EST,2007,11,,
220174,EST,2008,10,,
220174,EST,2009,12,,
220174,EST,2010,7,,
220174,EST,2011,7,,
220174,EST,2012,9,UIS_EST,
220174,EST,2013,8,UIS_EST,
220174,EST,2014,48,,
220174,EST,2015,49,,
220174,EST,2016,50,,
220174,EST,2017,53,,
220174,ETH,2008,19,,
220174,ETH,2011,18,,
220174,ETH,2012,19,,
220174,FIN,2005,212,,
220174,FIN,2006,205,,
220174,FIN,2007,192,,
220174,FIN,2008,189,,
220174,FIN,2009,174,,
220174,FIN,2010,166,,
220174,FIN,2011,166,,
220174,FIN,2012,156,,
