indicatorId,geoUnit,year,type,subtype,value
220174,BEL,2011,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,BGR,2010,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,BGR,2011,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,BIH,2010,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,CHN,2006,Source,National organisation,National Bureau of Statistics of China
220174,CHN,2007,Source,National organisation,National Bureau of Statistics of China
220174,CHN,2008,Source,National organisation,National Bureau of Statistics of China
220174,CHN,2009,Source,National organisation,National Bureau of Statistics of China
220174,CUB,2005,Source,National organisation,Oficina Nacional de Estadísticas -CUB
220174,CUB,2006,Source,National organisation,Oficina Nacional de Estadísticas -CUB
220174,CUB,2007,Source,National organisation,Oficina Nacional de Estadísticas -CUB
220174,CUB,2008,Source,National organisation,Oficina Nacional de Estadísticas -CUB
220174,CUB,2009,Source,National organisation,Oficina Nacional de Estadísticas -CUB
220174,DEU,2010,Over Coverage,Cinemas,Includes all kind of cinema sites
220174,DEU,2011,Over Coverage,Cinemas,Includes all kind of cinema sites
220174,DNK,2005,Source,National organisation,Danmarks Statistik
220174,EST,2012,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,EST,2013,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,ETH,2008,Different Coverage,National production,Data refer to different time frame (fiscal year)
220174,ETH,2008,Source,National organisation,Central Satistical Agency -ETH
220174,ETH,2011,Source,National organisation,Central Satistical Agency -ETH
220174,ETH,2012,Source,National organisation,Central Satistical Agency -ETH
220174,GBR,2005,Source,National organisation,Source: UK Film Council
220174,GBR,2006,Source,National organisation,Source: UK Film Council
220174,HUN,2011,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,HUN,2012,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,HUN,2013,Source,Regional organisation,Source: European Audiovisual Observatory Yearbook
220174,ITA,2007,Source,National organisation,"Associazione Nazionale Industrie Cinematografiche, Audiovisive e Multimediali (ANICA)"
220174,ITA,2008,Source,National organisation,"Associazione Nazionale Industrie Cinematografiche, Audiovisive e Multimediali (ANICA)"
220174,ITA,2009,Source,National organisation,"Associazione Nazionale Industrie Cinematografiche, Audiovisive e Multimediali (ANICA)"
220174,ITA,2010,Source,National organisation,"Associazione Nazionale Industrie Cinematografiche, Audiovisive e Multimediali (ANICA)"
220174,KOR,2007,Source,National organisation,KOFIC - KOR
220174,KOR,2008,Source,National organisation,KOFIC - KOR
220174,KOR,2009,Source,National organisation,KOFIC - KOR
220174,KOR,2010,Source,National organisation,KOFIC - KOR
220174,KOR,2011,Source,National organisation,KOFIC - KOR
220174,KOR,2012,Source,National organisation,KOFIC - KOR
220174,KOR,2013,Source,National organisation,KOFIC - KOR
220174,MYS,2007,Source,National organisation,Source: FINAS National Film Development Corporation Malaysia
220174,MYS,2008,Source,National organisation,Source: FINAS National Film Development Corporation Malaysia
220174,MYS,2009,Source,National organisation,Source: FINAS National Film Development Corporation Malaysia
220174,MYS,2010,Source,National organisation,FINAS National Film Development Corporation Malaysia
220174,MYS,2011,Source,National organisation,FINAS National Film Development Corporation Malaysia
220174,MYS,2012,Source,National organisation,Source: FINAS National Film Development Corporation Malaysia
220174,MYS,2013,Source,National organisation,Source: FINAS National Film Development Corporation Malaysia
220174,MYS,2016,Source,National organisation,FINAS National Film Development Corporation Malaysia
220174,MYS,2017,Source,National organisation,FINAS National Film Development Corporation Malaysia
220174,NLD,2005,Source,National organisation,Nederlands Fonds voor de Film -NLD
220174,NLD,2006,Source,National organisation,Nederlands Fonds voor de Film -NLD
220174,NLD,2010,Source,National organisation,Nederlands Fonds voor de Film -NLD
220174,NLD,2011,Source,National organisation,Nederlands Fonds voor de Film -NLD
220174,ROU,2012,Source,Regional organisation,Source: European Audiovisual Observatory Focus
220174,ROU,2013,Source,Regional organisation,Source: European Audiovisual Observatory Focus
220174,RUS,2010,Source,National organisation,Source: Nevafilm
220174,RUS,2011,Source,National organisation,Source: Nevafilm
220174,RUS,2012,Source,National organisation,Source: Nevafilm
220174,RUS,2013,Source,National organisation,Source: Nevafilm
