"","senator","seniority_date","term","party","state","dob"
"1","John C. Stennis","November 17, 1947",100,NA,NA,"1901-08-03"
"2","Strom Thurmond","November 7, 1956",100,NA,NA,"1902-12-05"
"3","William Proxmire","August 28, 1957",100,NA,NA,"1915-11-11"
"4","Robert Byrd","January 3, 1959",100,NA,NA,"1917-11-20"
"5","Quentin Northrup Burdick","August 8, 1960",100,NA,NA,"1908-06-19"
"6","Claiborne Pell","January 3, 1961",100,NA,NA,"1918-11-22"
"7","Ted Kennedy","November 7, 1962",100,NA,NA,"1932-02-22"
"8","Daniel Inouye","January 3, 1963",100,NA,NA,"1924-09-07"
"9","Ernest Hollings","November 9, 1966",100,NA,NA,"1922-01-01"
"10","Mark Hatfield","January 10, 1967",100,NA,NA,"1922-07-12"
"11","Ted Stevens","December 24, 1968",100,NA,NA,"1923-11-18"
"12","Bob Dole","January 3, 1969",100,NA,NA,"1923-07-22"
"13","Alan Cranston","January 3, 1969",100,NA,NA,"1914-06-19"
"14","Bob Packwood","January 3, 1969",100,NA,NA,"1932-09-11"
"15","Bill Roth","January 1, 1971",100,NA,NA,"1921-07-22"
"16","Lloyd Bentsen","January 3, 1971",100,NA,NA,"1921-02-11"
"17","Lowell Weicker","January 3, 1971",100,NA,NA,"1931-05-16"
"18","Lawton Chiles","January 3, 1971",100,NA,NA,"1930-04-03"
"19","Robert Stafford","September 16, 1971",100,NA,NA,"1913-08-08"
"20","Sam Nunn","November 8, 1972",100,NA,NA,"1938-09-08"
"21","Bennett Johnston Jr.","November 14, 1972",100,NA,NA,"1932-06-10"
"22","James A. McClure","January 3, 1973",100,NA,NA,"1924-12-27"
"23","Jesse Helms","January 3, 1973",100,NA,NA,"1921-10-18"
"24","Pete Domenici","January 3, 1973",100,NA,NA,"1932-05-07"
"25","Joe Biden","January 3, 1973",100,NA,NA,"1942-11-20"
"26","Jake Garn","December 21, 1974",100,NA,NA,"1932-10-12"
"27","John Glenn","December 24, 1974",100,NA,NA,"1921-07-18"
"28","Wendell H. Ford","December 28, 1974",100,NA,NA,"1924-09-08"
"29","Dale Bumpers","January 3, 1975",100,NA,NA,"1925-08-12"
"30","Patrick Leahy","January 3, 1975",100,NA,NA,"1940-03-31"
"31","John Danforth","December 27, 1976",100,NA,NA,"1936-09-05"
"32","Edward Zorinsky","December 28, 1976",100,NA,NA,"1928-11-11"
"33","Howard Metzenbaum","December 29, 1976",100,NA,NA,"1917-06-04"
"34","John Chafee","December 29, 1976",100,NA,NA,"1922-10-22"
"35","Donald W. Riegle, Jr.","December 30, 1976",100,NA,NA,"1938-02-04"
"36","Spark Matsunaga","January 3, 1977",100,NA,NA,"1916-10-08"
"37","John Melcher","January 3, 1977",100,NA,NA,"1924-09-06"
"38","H. John Heinz III","January 3, 1977",100,NA,NA,"1938-10-23"
"39","Paul Sarbanes","January 3, 1977",100,NA,NA,"1933-02-03"
"40","Pat Moynihan","January 3, 1977",100,NA,NA,"1927-03-16"
"41","Richard Lugar","January 3, 1977",100,NA,NA,"1932-04-04"
"42","Jim Sasser","January 3, 1977",100,NA,NA,"1936-09-30"
"43","Dennis DeConcini","January 3, 1977",100,NA,NA,"1937-05-08"
"44","Orrin Hatch","January 3, 1977",100,NA,NA,"1934-03-22"
"45","Malcolm Wallop","January 3, 1977",100,NA,NA,"1933-02-27"
"46","David Durenberger","November 8, 1978",100,NA,NA,"1934-08-19"
"47","Max Baucus","December 15, 1978",100,NA,NA,"1941-12-11"
"48","Nancy Kassebaum Baker","December 23, 1978",100,NA,NA,"1932-07-29"
"49","Thad Cochran","December 27, 1978",100,NA,NA,"1937-12-07"
"50","Rudy Boschwitz","December 30, 1978",100,NA,NA,"1930-11-07"
"51","Alan K. Simpson","January 1, 1979",100,NA,NA,"1931-09-02"
"52","John Warner","January 2, 1979",100,NA,NA,"1927-02-18"
"53","David Pryor","January 3, 1979",100,NA,NA,"1934-08-29"
"54","William Cohen","January 3, 1979",100,NA,NA,"1940-08-28"
"55","William L. Armstrong","January 3, 1979",100,NA,NA,"1937-03-16"
"56","Larry Pressler","January 3, 1979",100,NA,NA,"1942-03-29"
"57","David L. Boren","January 3, 1979",100,NA,NA,"1941-04-21"
"58","J. James Exon","January 3, 1979",100,NA,NA,"1921-08-09"
"59","Carl Levin","January 3, 1979",100,NA,NA,"1934-06-28"
"60","Bill Bradley","January 3, 1979",100,NA,NA,"1943-07-28"
"61","Howell Heflin","January 3, 1979",100,NA,NA,"1921-06-19"
"62","Gordon J. Humphrey","January 3, 1979",100,NA,NA,"1940-10-09"
"63","George J. Mitchell","May 17, 1980",100,NA,NA,"1933-08-20"
"64","Warren Rudman","December 31, 1980",100,NA,NA,"1930-05-18"
"65","Steve Symms","January 3, 1981",100,NA,NA,"1938-04-23"
"66","Chris Dodd","January 3, 1981",100,NA,NA,"1944-05-27"
"67","Chuck Grassley","January 3, 1981",100,NA,NA,"1933-09-17"
"68","Dan Quayle","January 3, 1981",100,NA,NA,"1947-02-04"
"69","Bob Kasten","January 3, 1981",100,NA,NA,"1942-06-19"
"70","Al D'Amato","January 3, 1981",100,NA,NA,"1937-08-01"
"71","Arlen Specter","January 3, 1981",100,NA,NA,"1930-02-12"
"72","Alan J. Dixon","January 3, 1981",100,NA,NA,"1927-07-07"
"73","Don Nickles","January 3, 1981",100,NA,NA,"1948-12-06"
"74","Frank Murkowski","January 3, 1981",100,NA,NA,"1933-03-28"
"75","Frank Lautenberg","December 27, 1982",100,NA,NA,"1924-01-23"
"76","Paul Trible","January 3, 1983",100,NA,NA,"1946-12-29"
"77","Pete Wilson","January 3, 1983",100,NA,NA,"1933-08-23"
"78","Jeff Bingaman","January 3, 1983",100,NA,NA,"1943-10-03"
"79","Chic Hecht","January 3, 1983",100,NA,NA,"1928-11-30"
"80","Daniel J. Evans","September 12, 1983",100,NA,NA,"1925-10-16"
"81","John Kerry","January 2, 1985",100,NA,NA,"1943-12-11"
"82","Paul Simon","January 3, 1985",100,NA,NA,"1941-10-13"
"83","Tom Harkin","January 3, 1985",100,NA,NA,"1939-11-19"
"84","Al Gore","January 3, 1985",100,NA,NA,"1948-03-31"
"85","Phil Gramm","January 3, 1985",100,NA,NA,"1942-07-08"
"86","Mitch McConnell","January 3, 1985",100,NA,NA,"1942-02-20"
"87","Jay Rockefeller","January 15, 1985",100,NA,NA,"1937-06-18"
"88","Terry Sanford","November 5, 1986",100,NA,NA,"1917-08-20"
"89","John Breaux","January 3, 1987",100,NA,NA,"1944-03-01"
"90","Brock Adams","January 3, 1987",100,NA,NA,"1927-01-13"
"91","Tim Wirth","January 3, 1987",100,NA,NA,"1939-09-22"
"92","Barbara Mikulski","January 3, 1987",100,NA,NA,"1936-07-20"
"93","Wyche Fowler","January 3, 1987",100,NA,NA,"1940-10-06"
"94","Richard Shelby","January 3, 1987",100,NA,NA,"1934-05-06"
"95","Tom Daschle","January 3, 1987",100,NA,NA,"1947-12-09"
"96","John McCain","January 3, 1987",100,NA,NA,"1936-08-29"
"97","Harry Reid","January 3, 1987",100,NA,NA,"1939-12-02"
"98","Bob Graham","January 3, 1987",100,NA,NA,"1936-11-09"
"99","Kit Bond","January 3, 1987",100,NA,NA,"1939-03-06"
"100","Kent Conrad","January 3, 1987",100,NA,NA,"1948-03-12"
"101","Strom Thurmond","November 7, 1956",101,NA,NA,"1902-12-05"
"102","Robert Byrd","January 3, 1959",101,NA,NA,"1917-11-20"
"103","Quentin Northrup Burdick","August 8, 1960",101,NA,NA,"1908-06-19"
"104","Claiborne Pell","January 3, 1961",101,NA,NA,"1918-11-22"
"105","Ted Kennedy","November 7, 1962",101,NA,NA,"1932-02-22"
"106","Daniel Inouye","January 3, 1963",101,NA,NA,"1924-09-07"
"107","Ernest Hollings","November 9, 1966",101,NA,NA,"1922-01-01"
"108","Mark Hatfield","January 10, 1967",101,NA,NA,"1922-07-12"
"109","Ted Stevens","December 24, 1968",101,NA,NA,"1923-11-18"
"110","Bob Dole","January 3, 1969",101,NA,NA,"1923-07-22"
"111","Alan Cranston","January 3, 1969",101,NA,NA,"1914-06-19"
"112","Bob Packwood","January 3, 1969",101,NA,NA,"1932-09-11"
"113","Bill Roth","January 1, 1971",101,NA,NA,"1921-07-22"
"114","Lloyd Bentsen","January 3, 1971",101,NA,NA,"1921-02-11"
"115","Sam Nunn","November 8, 1972",101,NA,NA,"1938-09-08"
"116","Bennett Johnston Jr.","November 14, 1972",101,NA,NA,"1932-06-10"
"117","James A. McClure","January 3, 1973",101,NA,NA,"1924-12-27"
"118","Jesse Helms","January 3, 1973",101,NA,NA,"1921-10-18"
"119","Pete Domenici","January 3, 1973",101,NA,NA,"1932-05-07"
"120","Joe Biden","January 3, 1973",101,NA,NA,"1942-11-20"
"121","Jake Garn","December 21, 1974",101,NA,NA,"1932-10-12"
"122","John Glenn","December 24, 1974",101,NA,NA,"1921-07-18"
"123","Wendell H. Ford","December 28, 1974",101,NA,NA,"1924-09-08"
"124","Dale Bumpers","January 3, 1975",101,NA,NA,"1925-08-12"
"125","Patrick Leahy","January 3, 1975",101,NA,NA,"1940-03-31"
"126","John Danforth","December 27, 1976",101,NA,NA,"1936-09-05"
"127","Howard Metzenbaum","December 29, 1976",101,NA,NA,"1917-06-04"
"128","John Chafee","December 29, 1976",101,NA,NA,"1922-10-22"
"129","Donald W. Riegle, Jr.","December 30, 1976",101,NA,NA,"1938-02-04"
"130","Spark Matsunaga","January 3, 1977",101,NA,NA,"1916-10-08"
"131","H. John Heinz III","January 3, 1977",101,NA,NA,"1938-10-23"
"132","Paul Sarbanes","January 3, 1977",101,NA,NA,"1933-02-03"
"133","Pat Moynihan","January 3, 1977",101,NA,NA,"1927-03-16"
"134","Richard Lugar","January 3, 1977",101,NA,NA,"1932-04-04"
"135","Jim Sasser","January 3, 1977",101,NA,NA,"1936-09-30"
"136","Dennis DeConcini","January 3, 1977",101,NA,NA,"1937-05-08"
"137","Orrin Hatch","January 3, 1977",101,NA,NA,"1934-03-22"
"138","Malcolm Wallop","January 3, 1977",101,NA,NA,"1933-02-27"
"139","David Durenberger","November 8, 1978",101,NA,NA,"1934-08-19"
"140","Max Baucus","December 15, 1978",101,NA,NA,"1941-12-11"
"141","Nancy Kassebaum Baker","December 23, 1978",101,NA,NA,"1932-07-29"
"142","Thad Cochran","December 27, 1978",101,NA,NA,"1937-12-07"
"143","Rudy Boschwitz","December 30, 1978",101,NA,NA,"1930-11-07"
"144","Alan K. Simpson","January 1, 1979",101,NA,NA,"1931-09-02"
"145","John Warner","January 2, 1979",101,NA,NA,"1927-02-18"
"146","David Pryor","January 3, 1979",101,NA,NA,"1934-08-29"
"147","William Cohen","January 3, 1979",101,NA,NA,"1940-08-28"
"148","William L. Armstrong","January 3, 1979",101,NA,NA,"1937-03-16"
"149","Larry Pressler","January 3, 1979",101,NA,NA,"1942-03-29"
"150","David L. Boren","January 3, 1979",101,NA,NA,"1941-04-21"
"151","J. James Exon","January 3, 1979",101,NA,NA,"1921-08-09"
"152","Carl Levin","January 3, 1979",101,NA,NA,"1934-06-28"
"153","Bill Bradley","January 3, 1979",101,NA,NA,"1943-07-28"
"154","Howell Heflin","January 3, 1979",101,NA,NA,"1921-06-19"
"155","Gordon J. Humphrey","January 3, 1979",101,NA,NA,"1940-10-09"
"156","George J. Mitchell","May 17, 1980",101,NA,NA,"1933-08-20"
"157","Warren Rudman","December 31, 1980",101,NA,NA,"1930-05-18"
"158","Steve Symms","January 3, 1981",101,NA,NA,"1938-04-23"
"159","Chris Dodd","January 3, 1981",101,NA,NA,"1944-05-27"
"160","Chuck Grassley","January 3, 1981",101,NA,NA,"1933-09-17"
"161","Bob Kasten","January 3, 1981",101,NA,NA,"1942-06-19"
"162","Al D'Amato","January 3, 1981",101,NA,NA,"1937-08-01"
"163","Arlen Specter","January 3, 1981",101,NA,NA,"1930-02-12"
"164","Alan J. Dixon","January 3, 1981",101,NA,NA,"1927-07-07"
"165","Don Nickles","January 3, 1981",101,NA,NA,"1948-12-06"
"166","Frank Murkowski","January 3, 1981",101,NA,NA,"1933-03-28"
"167","Frank Lautenberg","December 27, 1982",101,NA,NA,"1924-01-23"
"168","Pete Wilson","January 3, 1983",101,NA,NA,"1933-08-23"
"169","Jeff Bingaman","January 3, 1983",101,NA,NA,"1943-10-03"
"170","John Kerry","January 2, 1985",101,NA,NA,"1943-12-11"
"171","Paul Simon","January 3, 1985",101,NA,NA,"1941-10-13"
"172","Tom Harkin","January 3, 1985",101,NA,NA,"1939-11-19"
"173","Al Gore","January 3, 1985",101,NA,NA,"1948-03-31"
"174","Phil Gramm","January 3, 1985",101,NA,NA,"1942-07-08"
"175","Mitch McConnell","January 3, 1985",101,NA,NA,"1942-02-20"
"176","Jay Rockefeller","January 15, 1985",101,NA,NA,"1937-06-18"
"177","Terry Sanford","November 5, 1986",101,NA,NA,"1917-08-20"
"178","John Breaux","January 3, 1987",101,NA,NA,"1944-03-01"
"179","Brock Adams","January 3, 1987",101,NA,NA,"1927-01-13"
"180","Tim Wirth","January 3, 1987",101,NA,NA,"1939-09-22"
"181","Barbara Mikulski","January 3, 1987",101,NA,NA,"1936-07-20"
"182","Wyche Fowler","January 3, 1987",101,NA,NA,"1940-10-06"
"183","Richard Shelby","January 3, 1987",101,NA,NA,"1934-05-06"
"184","Tom Daschle","January 3, 1987",101,NA,NA,"1947-12-09"
"185","John McCain","January 3, 1987",101,NA,NA,"1936-08-29"
"186","Harry Reid","January 3, 1987",101,NA,NA,"1939-12-02"
"187","Bob Graham","January 3, 1987",101,NA,NA,"1936-11-09"
"188","Kit Bond","January 3, 1987",101,NA,NA,"1939-03-06"
"189","Kent Conrad","January 3, 1987",101,NA,NA,"1948-03-12"
"190","Slade Gorton","January 3, 1989",101,NA,NA,"1928-01-08"
"191","Trent Lott","January 3, 1989",101,NA,NA,"1941-10-09"
"192","Jim Jeffords","January 3, 1989",101,NA,NA,"1934-05-11"
"193","Dan Coats","January 3, 1989",101,NA,NA,"1943-05-16"
"194","Connie Mack","January 3, 1989",101,NA,NA,"1940-10-29"
"195","Richard Bryan","January 3, 1989",101,NA,NA,"1937-07-16"
"196","Chuck Robb","January 3, 1989",101,NA,NA,"1939-06-26"
"197","Bob Kerrey","January 3, 1989",101,NA,NA,"1943-08-27"
"198","Herb Kohl","January 3, 1989",101,NA,NA,"1935-02-07"
"199","Joe Lieberman","January 3, 1989",101,NA,NA,"1942-02-24"
"200","Conrad Burns","January 3, 1989",101,NA,NA,"1935-01-25"
"201","Strom Thurmond","November 7, 1956",102,NA,NA,"1902-12-05"
"202","Robert Byrd","January 3, 1959",102,NA,NA,"1917-11-20"
"203","Quentin Northrup Burdick","August 8, 1960",102,NA,NA,"1908-06-19"
"204","Claiborne Pell","January 3, 1961",102,NA,NA,"1918-11-22"
"205","Ted Kennedy","November 7, 1962",102,NA,NA,"1932-02-22"
"206","Daniel Inouye","January 3, 1963",102,NA,NA,"1924-09-07"
"207","Ernest Hollings","November 9, 1966",102,NA,NA,"1922-01-01"
"208","Mark Hatfield","January 10, 1967",102,NA,NA,"1922-07-12"
"209","Ted Stevens","December 24, 1968",102,NA,NA,"1923-11-18"
"210","Bob Dole","January 3, 1969",102,NA,NA,"1923-07-22"
"211","Alan Cranston","January 3, 1969",102,NA,NA,"1914-06-19"
"212","Bob Packwood","January 3, 1969",102,NA,NA,"1932-09-11"
"213","Bill Roth","January 1, 1971",102,NA,NA,"1921-07-22"
"214","Lloyd Bentsen","January 3, 1971",102,NA,NA,"1921-02-11"
"215","Sam Nunn","November 8, 1972",102,NA,NA,"1938-09-08"
"216","Bennett Johnston Jr.","November 14, 1972",102,NA,NA,"1932-06-10"
"217","Jesse Helms","January 3, 1973",102,NA,NA,"1921-10-18"
"218","Pete Domenici","January 3, 1973",102,NA,NA,"1932-05-07"
"219","Joe Biden","January 3, 1973",102,NA,NA,"1942-11-20"
"220","Jake Garn","December 21, 1974",102,NA,NA,"1932-10-12"
"221","John Glenn","December 24, 1974",102,NA,NA,"1921-07-18"
"222","Wendell H. Ford","December 28, 1974",102,NA,NA,"1924-09-08"
"223","Dale Bumpers","January 3, 1975",102,NA,NA,"1925-08-12"
"224","Patrick Leahy","January 3, 1975",102,NA,NA,"1940-03-31"
"225","John Danforth","December 27, 1976",102,NA,NA,"1936-09-05"
"226","Howard Metzenbaum","December 29, 1976",102,NA,NA,"1917-06-04"
"227","John Chafee","December 29, 1976",102,NA,NA,"1922-10-22"
"228","Donald W. Riegle, Jr.","December 30, 1976",102,NA,NA,"1938-02-04"
"229","H. John Heinz III","January 3, 1977",102,NA,NA,"1938-10-23"
"230","Paul Sarbanes","January 3, 1977",102,NA,NA,"1933-02-03"
"231","Pat Moynihan","January 3, 1977",102,NA,NA,"1927-03-16"
"232","Richard Lugar","January 3, 1977",102,NA,NA,"1932-04-04"
"233","Jim Sasser","January 3, 1977",102,NA,NA,"1936-09-30"
"234","Dennis DeConcini","January 3, 1977",102,NA,NA,"1937-05-08"
"235","Orrin Hatch","January 3, 1977",102,NA,NA,"1934-03-22"
"236","Malcolm Wallop","January 3, 1977",102,NA,NA,"1933-02-27"
"237","David Durenberger","November 8, 1978",102,NA,NA,"1934-08-19"
"238","Max Baucus","December 15, 1978",102,NA,NA,"1941-12-11"
"239","Nancy Kassebaum Baker","December 23, 1978",102,NA,NA,"1932-07-29"
"240","Thad Cochran","December 27, 1978",102,NA,NA,"1937-12-07"
"241","Alan K. Simpson","January 1, 1979",102,NA,NA,"1931-09-02"
"242","John Warner","January 2, 1979",102,NA,NA,"1927-02-18"
"243","David Pryor","January 3, 1979",102,NA,NA,"1934-08-29"
"244","William Cohen","January 3, 1979",102,NA,NA,"1940-08-28"
"245","Larry Pressler","January 3, 1979",102,NA,NA,"1942-03-29"
"246","David L. Boren","January 3, 1979",102,NA,NA,"1941-04-21"
"247","J. James Exon","January 3, 1979",102,NA,NA,"1921-08-09"
"248","Carl Levin","January 3, 1979",102,NA,NA,"1934-06-28"
"249","Bill Bradley","January 3, 1979",102,NA,NA,"1943-07-28"
"250","Howell Heflin","January 3, 1979",102,NA,NA,"1921-06-19"
"251","George J. Mitchell","May 17, 1980",102,NA,NA,"1933-08-20"
"252","Warren Rudman","December 31, 1980",102,NA,NA,"1930-05-18"
"253","Steve Symms","January 3, 1981",102,NA,NA,"1938-04-23"
"254","Chris Dodd","January 3, 1981",102,NA,NA,"1944-05-27"
